Release Date,date,Time,month_tag,Actual,Forecast,Previous
"May 15, 2025 (Apr)",5/15/2025,15:30:00,Apr,,,0.027
"Apr 11, 2025 (Mar)",4/11/2025,15:30:00,Mar,0.027,0.033,0.032
"Mar 13, 2025 (Feb)",3/13/2025,15:30:00,Feb,0.032,0.033,0.037
"Feb 13, 2025 (Jan)",2/13/2025,16:30:00,Jan,0.035,0.032,0.035
"Jan 14, 2025 (Dec)",1/14/2025,16:30:00,Dec,0.033,0.035,0.03
"Dec 12, 2024 (Nov)",12/12/2024,16:30:00,Nov,0.03,0.026,0.026
"Nov 14, 2024 (Oct)",11/14/2024,16:30:00,Oct,0.024,0.023,0.019
"Oct 11, 2024 (Sep)",10/11/2024,15:30:00,Sep,0.018,0.016,0.019
"Sep 12, 2024 (Aug)",9/12/2024,15:30:00,Aug,0.017,0.018,0.021
"Aug 13, 2024 (Jul)",8/13/2024,15:30:00,Jul,0.022,0.023,0.027
"Jul 12, 2024 (Jun)",7/12/2024,15:30:00,Jun,0.026,0.023,0.024
"Jun 13, 2024 (May)",6/13/2024,15:30:00,May,0.022,0.025,0.023
"May 14, 2024 (Apr)",5/14/2024,15:30:00,Apr,0.022,0.022,0.018
"Apr 11, 2024 (Mar)",4/11/2024,15:30:00,Mar,0.021,0.022,0.016
"Mar 14, 2024 (Feb)",3/14/2024,15:30:00,Feb,0.016,0.011,0.01
"Feb 16, 2024 (Jan)",2/16/2024,16:30:00,Jan,0.009,0.006,0.01
"Jan 12, 2024 (Dec)",1/12/2024,16:30:00,Dec,0.01,0.013,0.008
"Dec 13, 2023 (Nov)",12/13/2023,16:30:00,Nov,0.009,0.01,0.012
"Nov 15, 2023 (Oct)",11/15/2023,16:30:00,Oct,0.013,0.019,0.022
"Oct 11, 2023 (Sep)",10/11/2023,15:30:00,Sep,0.022,0.016,0.02
"Sep 14, 2023 (Aug)",9/14/2023,15:30:00,Aug,0.016,0.012,0.008
"Aug 11, 2023 (Jul)",8/11/2023,15:30:00,Jul,0.008,0.007,0.002
"Jul 13, 2023 (Jun)",7/13/2023,15:30:00,Jun,0.001,0.004,0.009
"Jun 14, 2023 (May)",6/14/2023,15:30:00,May,0.011,0.015,0.023
"May 11, 2023 (Apr)",5/11/2023,15:30:00,Apr,0.023,0.024,0.027
"Apr 13, 2023 (Mar)",4/13/2023,15:30:00,Mar,0.027,0.03,0.049
"Mar 15, 2023 (Feb)",3/15/2023,15:30:00,Feb,0.046,0.054,0.057
"Feb 16, 2023 (Jan)",2/16/2023,16:30:00,Jan,0.06,0.054,0.065
"Jan 18, 2023 (Dec)",1/18/2023,16:30:00,Dec,0.062,0.068,0.073
"Dec 09, 2022 (Nov)",12/9/2022,16:30:00,Nov,0.074,0.072,0.081
"Nov 15, 2022 (Oct)",11/15/2022,16:30:00,Oct,0.08,0.083,0.084
"Oct 12, 2022 (Sep)",10/12/2022,15:30:00,Sep,0.085,0.084,0.087
"Sep 14, 2022 (Aug)",9/14/2022,15:30:00,Aug,0.087,0.088,0.098
"Aug 11, 2022 (Jul)",8/11/2022,15:30:00,Jul,0.098,0.104,0.113
"Jul 14, 2022 (Jun)",7/14/2022,15:30:00,Jun,0.113,0.107,0.109
"Jun 14, 2022 (May)",6/14/2022,15:30:00,May,0.108,0.109,0.109
"May 12, 2022 (Apr)",5/12/2022,15:30:00,Apr,0.11,0.107,0.115
"Apr 13, 2022 (Mar)",4/13/2022,15:30:00,Mar,0.112,0.106,0.103
"Mar 15, 2022 (Feb)",3/15/2022,15:30:00,Feb,0.1,0.1,0.1
"Feb 15, 2022 (Jan)",2/15/2022,16:30:00,Jan,0.097,0.091,0.098
"Jan 13, 2022 (Dec)",1/13/2022,16:30:00,Dec,0.097,0.098,0.098
"Dec 14, 2021 (Nov)",12/14/2021,16:30:00,Nov,0.096,0.092,0.088
"Nov 09, 2021 (Oct)",11/9/2021,16:30:00,Oct,0.086,0.087,0.086
"Oct 14, 2021 (Sep)",10/14/2021,15:30:00,Sep,0.086,0.087,0.083
"Sep 10, 2021 (Aug)",9/10/2021,15:30:00,Aug,0.083,0.082,0.078
"Aug 12, 2021 (Jul)",8/12/2021,15:30:00,Jul,0.078,0.073,0.073
"Jul 14, 2021 (Jun)",7/14/2021,15:30:00,Jun,0.073,0.068,0.066
"Jun 15, 2021 (May)",6/15/2021,15:30:00,May,0.066,0.063,0.062
"May 13, 2021 (Apr)",5/13/2021,15:30:00,Apr,0.062,0.059,0.042
"Apr 09, 2021 (Mar)",4/9/2021,15:30:00,Mar,0.042,0.038,0.028
"Mar 12, 2021 (Feb)",3/12/2021,16:30:00,Feb,0.028,0.027,0.017
"Feb 17, 2021 (Jan)",2/17/2021,16:30:00,Jan,0.017,0.009,0.008
"Jan 15, 2021 (Dec)",1/15/2021,16:30:00,Dec,0.008,0.008,0.008
"Dec 11, 2020 (Nov)",12/11/2020,16:30:00,Nov,0.008,0.008,0.005
"Nov 13, 2020 (Oct)",11/13/2020,16:30:00,Oct,0.005,0.004,0.004
"Oct 14, 2020 (Sep)",10/14/2020,15:30:00,Sep,0.004,0.002,-0.002
"Sep 10, 2020 (Aug)",9/10/2020,15:30:00,Aug,-0.002,-0.003,-0.004
"Aug 11, 2020 (Jul)",8/11/2020,15:30:00,Jul,-0.004,-0.007,-0.008
"Jul 10, 2020 (Jun)",7/10/2020,15:30:00,Jun,-0.008,-0.002,-0.008
"Jun 11, 2020 (May)",6/11/2020,15:30:00,May,-0.008,-0.012,-0.012
"May 13, 2020 (Apr)",5/13/2020,15:30:00,Apr,-0.012,-0.002,0.007
"Apr 09, 2020 (Mar)",4/9/2020,15:30:00,Mar,0.007,0.005,0.013
"Mar 12, 2020 (Feb)",3/12/2020,15:30:00,Feb,0.013,0.018,0.021
"Feb 19, 2020 (Jan)",2/19/2020,16:30:00,Jan,0.021,0.016,0.013
"Jan 15, 2020 (Dec)",1/15/2020,16:30:00,Dec,0.013,0.013,0.011
"Dec 12, 2019 (Nov)",12/12/2019,16:30:00,Nov,0.011,0.012,0.011
"Nov 14, 2019 (Oct)",11/14/2019,16:30:00,Oct,0.011,0.009,0.014
"Oct 08, 2019 (Sep)",10/8/2019,15:30:00,Sep,0.014,0.018,0.018
"Sep 11, 2019 (Aug)",9/11/2019,15:30:00,Aug,0.018,0.017,0.017
"Aug 09, 2019 (Jul)",8/9/2019,15:30:00,Jul,0.017,0.017,0.017
"Jul 12, 2019 (Jun)",7/12/2019,15:30:00,Jun,0.017,0.016,0.018
"Jun 11, 2019 (May)",6/11/2019,15:30:00,May,0.018,0.02,0.022
"May 09, 2019 (Apr)",5/9/2019,15:30:00,Apr,0.022,0.023,0.022
"Apr 11, 2019 (Mar)",4/11/2019,15:30:00,Mar,0.022,0.019,0.019
"Mar 13, 2019 (Feb)",3/13/2019,15:30:00,Feb,0.019,0.019,0.02
"Feb 14, 2019 (Jan)",2/14/2019,16:30:00,Jan,0.02,0.021,0.025
"Jan 15, 2019 (Dec)",1/15/2019,16:30:00,Dec,0.025,0.025,0.025
"Dec 11, 2018 (Nov)",12/11/2018,16:30:00,Nov,0.025,0.025,0.029
"Nov 09, 2018 (Oct)",11/9/2018,16:30:00,Oct,0.029,0.025,0.026
"Oct 10, 2018 (Sep)",10/10/2018,15:30:00,Sep,0.026,0.028,0.028
"Sep 12, 2018 (Aug)",9/12/2018,15:30:00,Aug,0.028,0.032,0.033
"Aug 09, 2018 (Jul)",8/9/2018,15:30:00,Jul,0.033,0.034,0.034
"Jul 11, 2018 (Jun)",7/11/2018,15:30:00,Jun,0.034,0.032,0.031
"Jun 13, 2018 (May)",6/13/2018,15:30:00,May,0.031,0.028,0.026
"May 09, 2018 (Apr)",5/9/2018,15:30:00,Apr,0.026,0.028,0.03
"Apr 10, 2018 (Mar)",4/10/2018,15:30:00,Mar,0.03,0.029,0.028
"Mar 14, 2018 (Feb)",3/14/2018,15:30:00,Feb,0.028,0.028,0.027
"Feb 15, 2018 (Jan)",2/15/2018,16:30:00,Jan,0.027,0.025,0.026
"Jan 11, 2018 (Dec)",1/11/2018,16:30:00,Dec,0.026,0.03,0.031
