time,open,high,low,close,tick_volume
2019-10-21,1491.63,1495.23,1481.54,1484.17,124619
2019-10-22,1484.18,1488.99,1480.88,1487.69,128365
2019-10-23,1487.83,1496.31,1487.64,1491.85,131475
2019-10-24,1491.94,1504.04,1488.02,1503.24,132138
2019-10-25,1503.53,1517.98,1500.64,1504.39,144236
2019-10-28,1504.46,1508.24,1490.05,1492.68,122498
2019-10-29,1491.83,1494.81,1483.66,1487.91,129575
2019-10-30,1488.0,1496.64,1481.19,1495.88,151386
2019-10-31,1496.23,1514.23,1493.8,1512.48,176009
2019-11-01,1512.62,1516.17,1503.28,1513.82,130402
2019-11-04,1514.17,1514.84,1504.46,1509.62,110735
2019-11-05,1509.48,1509.69,1479.4,1483.52,142405
2019-11-06,1483.36,1494.21,1482.46,1490.41,143986
2019-11-07,1490.43,1492.2,1460.62,1468.62,173048
2019-11-08,1467.86,1472.99,1456.25,1459.06,175953
2019-11-11,1459.37,1466.47,1448.21,1456.01,107915
2019-11-12,1454.93,1460.43,1445.62,1456.43,167277
2019-11-13,1455.91,1467.13,1455.82,1463.24,159473
2019-11-14,1463.46,1474.67,1461.15,1470.88,153351
2019-11-15,1471.12,1471.39,1462.46,1467.67,119400
2019-11-18,1467.11,1473.99,1456.42,1470.99,134001
2019-11-19,1471.37,1475.36,1464.84,1472.46,134996
2019-11-20,1472.29,1478.89,1465.94,1471.32,150865
2019-11-21,1475.02,1475.68,1462.4,1464.42,154952
2019-11-22,1464.04,1473.23,1461.39,1462.08,129641
2019-11-25,1460.79,1462.16,1454.09,1454.91,86395
2019-11-26,1455.05,1462.94,1450.08,1461.35,90296
2019-11-27,1461.77,1461.94,1452.56,1454.19,73621
2019-11-28,1454.52,1458.28,1454.26,1455.99,43945
2019-11-29,1455.59,1466.56,1453.08,1463.97,82067
2019-12-02,1464.19,1465.08,1453.99,1462.42,114497
2019-12-03,1462.49,1481.76,1459.86,1477.33,134705
2019-12-04,1477.45,1484.09,1471.48,1474.44,126690
2019-12-05,1474.64,1480.35,1472.91,1475.8,112615
2019-12-06,1475.84,1479.53,1458.73,1459.77,97238
2019-12-09,1459.59,1465.41,1458.76,1461.88,70045
2019-12-10,1461.71,1469.18,1460.11,1464.46,95349
2019-12-11,1464.07,1478.91,1462.75,1474.86,104056
2019-12-12,1474.67,1486.74,1463.95,1469.79,125672
2019-12-13,1468.59,1478.08,1461.97,1475.32,160564
2019-12-16,1475.78,1479.89,1473.17,1476.1,76155
2019-12-17,1476.08,1480.56,1474.24,1476.13,73972
2019-12-18,1476.22,1479.32,1470.49,1475.5,82187
2019-12-19,1474.85,1481.69,1473.28,1478.75,84304
2019-12-20,1478.88,1480.97,1475.88,1478.1,73317
2019-12-23,1478.25,1486.15,1477.54,1485.52,72654
2019-12-24,1485.37,1500.52,1484.4,1499.55,63998
2019-12-26,1499.2,1512.61,1497.4,1510.81,95880
2019-12-27,1511.04,1515.33,1507.36,1510.86,102281
2019-12-30,1511.44,1516.12,1510.8,1515.01,85395
2019-12-31,1514.83,1525.32,1514.76,1520.3,88561
2020-01-02,1517.97,1531.39,1517.23,1528.81,117851
2020-01-03,1528.55,1553.57,1527.98,1551.64,176596
2020-01-06,1558.55,1588.0,1558.55,1565.78,179576
2020-01-07,1564.34,1577.33,1555.34,1573.41,159834
2020-01-08,1574.22,1611.39,1552.26,1555.94,251360
2020-01-09,1556.23,1561.34,1540.27,1552.18,149197
2020-01-10,1552.6,1563.18,1545.75,1562.3,120234
2020-01-13,1559.33,1561.49,1546.58,1547.96,97553
2020-01-14,1548.46,1548.89,1535.95,1546.23,128466
2020-01-15,1546.48,1558.19,1546.4,1556.3,115911
2020-01-16,1555.72,1558.11,1548.04,1552.42,93331
2020-01-17,1552.22,1561.28,1549.42,1557.12,90747
2020-01-20,1557.23,1562.76,1556.37,1560.7,43676
2020-01-21,1560.88,1568.63,1546.38,1558.17,124213
2020-01-22,1558.8,1559.28,1550.2,1558.79,89702
2020-01-23,1558.79,1567.97,1551.94,1562.79,124750
2020-01-24,1562.49,1575.83,1556.56,1571.43,115510
2020-01-27,1581.21,1588.51,1575.9,1581.86,161267
2020-01-28,1581.58,1583.07,1565.57,1567.88,126826
2020-01-29,1566.89,1578.04,1563.4,1576.76,111628
2020-01-30,1576.86,1585.99,1572.3,1573.89,163993
2020-01-31,1574.18,1590.44,1570.98,1589.17,161457
2020-02-03,1593.12,1593.63,1569.7,1576.67,156669
2020-02-04,1576.76,1579.68,1549.08,1552.7,132568
2020-02-05,1552.59,1562.42,1547.51,1556.61,153561
2020-02-06,1555.94,1568.28,1552.54,1566.61,128650
2020-02-07,1566.63,1574.05,1561.17,1570.25,138887
2020-02-10,1572.04,1577.03,1568.0,1572.06,127691
2020-02-11,1572.12,1574.05,1562.16,1567.79,105892
2020-02-12,1567.69,1570.48,1561.81,1565.8,97142
2020-02-13,1565.95,1578.28,1565.59,1575.94,138706
2020-02-14,1575.91,1584.99,1573.08,1583.98,106350
2020-02-17,1581.52,1583.79,1578.9,1581.15,44813
2020-02-18,1580.32,1605.13,1580.32,1601.41,127001
2020-02-19,1601.44,1612.95,1599.53,1611.6,124863
2020-02-20,1611.64,1623.75,1603.92,1619.25,186464
2020-02-21,1619.56,1649.27,1618.98,1643.32,200536
2020-02-24,1653.32,1689.35,1650.9,1658.63,274083
2020-02-25,1659.19,1663.9,1625.17,1635.19,304180
2020-02-26,1634.58,1655.02,1624.89,1640.6,262063
2020-02-27,1640.69,1660.37,1635.27,1643.92,283675
2020-02-28,1644.49,1649.5,1562.89,1585.67,300076
2020-03-02,1591.59,1611.04,1575.41,1589.58,307233
2020-03-03,1589.51,1649.28,1584.83,1640.88,240303
2020-03-04,1639.88,1652.6,1631.89,1636.49,206097
2020-03-05,1636.77,1674.62,1634.97,1672.48,218222
2020-03-06,1671.97,1692.16,1642.41,1674.25,294028
2020-03-09,1691.8,1703.29,1657.35,1678.95,227220
2020-03-10,1680.13,1680.35,1641.77,1649.18,257509
2020-03-11,1649.26,1671.25,1633.02,1635.91,205315
2020-03-12,1634.1,1650.37,1560.76,1578.14,233939
2020-03-13,1576.51,1597.96,1504.52,1528.79,228985
2020-03-16,1563.8,1575.33,1451.22,1510.21,262326
2020-03-17,1514.08,1554.02,1465.49,1528.56,241333
2020-03-18,1527.41,1546.3,1472.88,1485.28,217946
2020-03-19,1486.42,1500.74,1464.08,1472.22,198564
2020-03-20,1471.85,1515.97,1454.94,1496.77,185873
2020-03-23,1502.5,1561.19,1482.35,1552.59,212532
2020-03-24,1553.68,1632.64,1552.45,1626.73,95895
2020-03-25,1628.64,1639.34,1592.62,1616.7,72740
2020-03-26,1616.7,1644.02,1500.59,1628.98,69332
2020-03-27,1631.14,1635.27,1613.78,1621.61,76913
2020-03-30,1628.16,1632.98,1610.4,1620.27,72790
2020-03-31,1622.32,1623.41,1574.32,1576.22,93992
2020-04-01,1575.06,1600.39,1567.84,1591.02,95117
2020-04-02,1589.06,1619.82,1582.84,1611.64,111159
2020-04-03,1613.24,1625.3,1605.87,1615.72,89711
2020-04-06,1615.04,1668.62,1608.77,1657.68,95795
2020-04-07,1660.98,1674.02,1642.29,1648.12,98667
2020-04-08,1647.69,1656.48,1640.45,1645.81,77773
2020-04-09,1644.86,1690.27,1642.83,1683.04,115624
2020-04-13,1685.54,1722.59,1671.74,1713.29,97231
2020-04-14,1714.22,1747.81,1708.69,1726.96,141612
2020-04-15,1726.48,1731.2,1707.52,1716.59,120721
2020-04-16,1716.3,1738.76,1707.65,1718.77,136645
2020-04-17,1719.4,1719.4,1679.49,1681.46,142664
2020-04-20,1678.93,1702.47,1671.49,1694.77,134563
2020-04-21,1694.7,1697.82,1659.45,1683.43,131108
2020-04-22,1687.59,1718.63,1680.28,1714.65,147216
2020-04-23,1713.66,1738.68,1706.93,1730.39,150365
2020-04-24,1730.24,1736.29,1710.35,1726.58,130637
2020-04-27,1726.08,1727.27,1706.07,1715.13,140781
2020-04-28,1713.73,1716.53,1691.74,1708.52,162296
2020-04-29,1707.89,1717.3,1697.85,1712.81,138073
2020-04-30,1712.62,1721.76,1681.41,1687.0,147185
2020-05-01,1686.77,1705.47,1670.32,1699.2,200922
2020-05-04,1697.67,1713.49,1691.6,1701.44,105465
2020-05-05,1700.82,1711.67,1689.92,1705.55,104363
2020-05-06,1705.44,1708.14,1682.05,1685.52,105094
2020-05-07,1685.19,1722.01,1681.47,1716.19,115361
2020-05-08,1715.98,1723.35,1701.0,1701.5,121511
2020-05-11,1701.09,1712.15,1691.99,1697.49,117357
2020-05-12,1697.53,1711.01,1693.75,1701.95,121444
2020-05-13,1701.98,1718.02,1699.09,1715.87,149596
2020-05-14,1716.02,1736.47,1710.87,1730.12,129664
2020-05-15,1729.35,1751.63,1728.51,1742.73,145756
2020-05-18,1744.29,1765.31,1727.38,1732.25,149754
2020-05-19,1732.91,1747.86,1725.74,1744.61,146201
2020-05-20,1744.64,1753.87,1742.42,1747.78,138564
2020-05-21,1748.16,1748.81,1717.12,1727.03,139819
2020-05-22,1725.7,1740.17,1724.36,1735.41,109585
2020-05-25,1731.74,1734.85,1721.39,1727.65,55368
2020-05-26,1727.16,1735.5,1708.7,1709.68,116005
2020-05-27,1710.65,1716.02,1693.7,1709.22,116481
2020-05-28,1710.46,1727.52,1704.36,1718.86,120543
2020-05-29,1718.05,1737.72,1712.67,1729.81,113716
2020-06-01,1735.05,1744.6,1727.15,1739.79,116644
2020-06-02,1739.44,1745.17,1721.33,1727.44,113388
2020-06-03,1726.05,1731.8,1689.42,1698.46,143797
2020-06-04,1698.99,1721.86,1696.71,1713.35,129435
2020-06-05,1712.71,1716.24,1670.72,1684.27,150064
2020-06-08,1682.73,1700.68,1677.37,1698.2,130460
2020-06-09,1697.99,1720.85,1692.26,1714.27,146647
2020-06-10,1714.65,1739.76,1707.89,1738.19,136194
2020-06-11,1738.57,1744.67,1721.57,1726.96,154840
2020-06-12,1727.18,1743.04,1722.23,1729.83,138933
2020-06-15,1726.8,1734.49,1704.22,1724.7,153968
2020-06-16,1724.79,1732.81,1716.77,1727.44,148123
2020-06-17,1726.37,1730.32,1712.65,1726.54,114071
2020-06-18,1726.69,1737.5,1717.54,1722.12,121495
2020-06-19,1722.67,1745.19,1720.97,1743.08,114727
2020-06-22,1753.02,1763.07,1742.78,1754.7,141857
2020-06-23,1753.74,1770.99,1747.37,1766.97,133511
2020-06-24,1767.63,1779.22,1760.62,1761.4,149428
2020-06-25,1760.31,1768.86,1753.34,1764.05,127603
2020-06-26,1763.29,1771.84,1747.43,1770.38,123643
2020-06-29,1775.42,1775.42,1765.57,1772.94,111362
2020-06-30,1772.32,1786.12,1764.67,1780.44,100995
2020-07-01,1780.44,1789.08,1759.07,1770.12,125608
2020-07-02,1769.86,1779.5,1757.44,1775.32,102340
2020-07-03,1774.25,1777.11,1772.58,1773.64,40750
2020-07-06,1773.42,1786.99,1770.0,1784.2,92315
2020-07-07,1784.37,1797.37,1773.52,1794.74,102938
2020-07-08,1795.32,1817.97,1791.48,1808.61,103136
2020-07-09,1808.87,1815.95,1795.48,1802.86,113513
2020-07-10,1803.27,1810.56,1794.07,1798.51,97254
2020-07-13,1795.97,1813.31,1795.97,1802.49,111207
2020-07-14,1802.08,1810.86,1790.6,1809.31,121904
2020-07-15,1809.19,1815.06,1802.46,1810.25,97112
2020-07-16,1810.23,1813.26,1794.92,1796.49,92377
2020-07-17,1796.86,1811.99,1795.82,1809.38,78142
2020-07-20,1808.99,1820.57,1805.71,1817.24,100165
2020-07-21,1817.42,1843.48,1815.84,1841.49,121248
2020-07-22,1841.68,1872.0,1839.61,1871.91,183459
2020-07-23,1871.52,1898.38,1863.71,1887.01,194045
2020-07-24,1887.21,1906.54,1881.37,1901.48,146134
2020-07-27,1901.38,1945.64,1899.57,1941.54,208163
2020-07-28,1941.3,1981.14,1906.62,1960.85,221075
2020-07-29,1958.86,1980.91,1941.45,1970.38,150216
2020-07-30,1970.27,1971.58,1939.52,1957.0,165915
2020-07-31,1956.12,1983.07,1954.75,1975.24,174507
2020-08-03,1978.48,1987.68,1960.49,1976.76,136452
2020-08-04,1976.35,2019.95,1967.41,2018.53,141576
2020-08-05,2019.23,2055.58,2009.51,2038.14,189408
2020-08-06,2037.56,2069.67,2034.52,2063.14,170393
2020-08-07,2062.54,2075.24,2015.49,2035.12,208787
2020-08-10,2033.77,2049.91,2018.99,2027.82,157675
2020-08-11,2027.37,2030.01,1901.32,1911.83,241007
2020-08-12,1911.17,1949.3,1862.6,1916.36,234768
2020-08-13,1916.43,1966.3,1912.81,1953.24,194380
2020-08-14,1953.39,1962.19,1932.17,1943.98,166398
2020-08-17,1946.27,1990.69,1929.39,1984.25,160205
2020-08-18,1985.0,2015.7,1976.01,2001.8,179025
2020-08-19,2001.7,2006.45,1924.69,1928.4,206427
2020-08-20,1928.92,1955.23,1924.77,1945.62,201180
2020-08-21,1946.7,1955.88,1911.47,1940.27,178031
2020-08-24,1940.19,1961.77,1923.71,1928.72,152305
2020-08-25,1928.62,1937.51,1914.27,1928.09,150520
2020-08-26,1927.78,1954.84,1902.78,1953.47,153453
2020-08-27,1953.93,1976.71,1909.93,1929.03,177902
2020-08-28,1929.19,1973.83,1923.14,1963.99,170234
2020-08-31,1965.47,1976.64,1954.24,1967.63,144630
2020-09-01,1967.06,1992.41,1963.12,1970.88,159813
2020-09-02,1970.24,1973.25,1932.6,1943.51,162657
2020-09-03,1942.91,1951.03,1921.71,1930.7,165919
2020-09-04,1930.05,1947.67,1916.36,1933.06,162869
2020-09-07,1929.84,1941.32,1924.3,1928.21,76998
2020-09-08,1928.2,1940.89,1906.41,1931.4,155819
2020-09-09,1931.47,1950.86,1920.04,1946.97,121177
2020-09-10,1946.57,1966.6,1941.39,1946.11,142465
2020-09-11,1945.88,1954.76,1937.19,1940.2,127184
2020-09-14,1940.43,1962.75,1936.52,1956.46,106713
2020-09-15,1956.74,1972.17,1948.36,1953.66,120774
2020-09-16,1952.82,1973.58,1949.85,1959.86,136892
2020-09-17,1958.94,1960.95,1932.84,1944.29,150236
2020-09-18,1944.09,1960.06,1943.64,1950.04,116783
2020-09-21,1949.45,1955.58,1882.19,1912.4,173324
2020-09-22,1912.36,1920.03,1894.57,1900.39,169771
2020-09-23,1900.03,1905.31,1855.78,1863.4,199325
2020-09-24,1863.22,1877.08,1848.73,1868.41,195993
2020-09-25,1868.06,1875.17,1852.41,1860.28,160624
2020-09-28,1857.97,1883.05,1848.41,1881.78,146785
2020-09-29,1880.94,1899.16,1875.44,1897.02,136724
2020-09-30,1898.0,1902.26,1881.36,1885.55,152269
2020-10-01,1885.26,1911.97,1884.69,1904.96,155252
2020-10-02,1905.15,1917.07,1889.76,1899.24,137276
2020-10-05,1904.97,1918.81,1887.01,1913.35,113052
2020-10-06,1912.67,1921.02,1874.61,1875.0,129721
2020-10-07,1878.44,1898.05,1872.86,1887.93,145973
2020-10-08,1886.93,1900.68,1881.92,1893.53,130497
2020-10-09,1893.54,1930.44,1893.54,1930.16,142558
2020-10-12,1928.75,1933.19,1918.35,1922.48,149574
2020-10-13,1922.7,1925.44,1886.51,1891.28,175638
2020-10-14,1891.69,1912.94,1882.5,1900.9,156894
2020-10-15,1901.65,1908.95,1889.6,1908.02,171397
2020-10-16,1908.39,1913.94,1897.8,1898.62,140832
2020-10-19,1899.67,1918.48,1897.0,1903.79,148743
2020-10-20,1903.35,1914.1,1894.6,1907.45,138592
2020-10-21,1907.72,1931.38,1907.72,1924.42,142691
2020-10-22,1923.87,1926.0,1894.62,1903.83,135278
2020-10-23,1903.84,1914.2,1894.28,1901.67,105805
2020-10-26,1902.64,1908.62,1891.24,1902.2,127341
2020-10-27,1901.77,1911.36,1897.81,1907.58,102085
2020-10-28,1907.9,1910.88,1869.25,1877.37,148981
2020-10-29,1876.72,1884.97,1859.94,1867.73,149156
2020-10-30,1867.13,1889.81,1864.38,1878.38,157406
2020-11-02,1877.02,1896.04,1873.44,1895.68,136726
2020-11-03,1895.29,1910.57,1886.95,1909.57,115162
2020-11-04,1908.85,1916.43,1883.03,1903.0,198051
2020-11-05,1903.05,1952.76,1902.2,1949.46,171281
2020-11-06,1948.39,1960.36,1935.61,1951.23,155790
2020-11-09,1954.98,1965.51,1850.53,1862.13,208448
2020-11-10,1863.71,1890.39,1860.31,1877.24,172466
2020-11-11,1876.93,1884.47,1856.45,1865.25,127586
2020-11-12,1865.52,1883.87,1862.69,1876.85,130016
2020-11-13,1877.01,1896.82,1874.03,1889.44,112802
2020-11-16,1888.53,1899.06,1864.5,1888.83,141446
2020-11-17,1888.97,1893.44,1876.85,1880.21,117710
2020-11-18,1880.45,1884.84,1863.76,1872.31,113706
2020-11-19,1872.6,1874.08,1852.72,1866.02,112659
2020-11-20,1865.55,1879.73,1860.86,1870.91,91539
2020-11-23,1868.92,1876.12,1830.97,1837.83,113942
2020-11-24,1838.52,1839.0,1800.21,1807.37,153175
2020-11-25,1807.98,1817.73,1801.62,1807.74,103059
2020-11-26,1808.31,1818.24,1805.78,1810.26,60395
2020-11-27,1811.31,1813.83,1774.33,1786.71,100101
2020-11-30,1789.41,1789.89,1764.23,1776.72,135859
2020-12-01,1777.9,1817.3,1775.74,1815.04,109817
2020-12-02,1813.52,1832.41,1807.46,1830.51,104747
2020-12-03,1830.51,1843.95,1823.76,1840.92,109062
2020-12-04,1841.15,1848.23,1829.16,1838.84,90481
2020-12-07,1837.42,1868.54,1822.07,1862.19,105126
2020-12-08,1862.7,1875.29,1860.23,1870.24,101252
2020-12-09,1869.92,1870.52,1825.41,1839.87,146956
2020-12-10,1838.7,1850.01,1828.65,1836.64,141811
2020-12-11,1836.55,1847.71,1824.01,1839.55,126752
2020-12-14,1836.17,1839.03,1819.51,1827.0,116790
2020-12-15,1827.24,1855.39,1825.5,1853.27,121215
2020-12-16,1853.23,1865.76,1844.74,1864.55,147356
2020-12-17,1862.87,1896.21,1862.0,1885.42,144777
2020-12-18,1884.55,1889.65,1877.42,1880.89,122008
2020-12-21,1882.89,1906.74,1855.04,1876.48,191934
2020-12-22,1878.14,1884.28,1858.93,1859.92,159836
2020-12-23,1860.32,1878.51,1857.02,1873.15,140793
2020-12-24,1873.59,1883.15,1869.53,1879.51,82563
2020-12-28,1882.99,1900.24,1869.17,1873.46,127216
2020-12-29,1872.24,1886.38,1871.52,1878.27,103883
2020-12-30,1877.98,1894.51,1876.07,1894.47,95819
2020-12-31,1893.68,1900.41,1885.3,1893.7,95624
2021-01-04,1908.61,1944.44,1907.2,1942.85,160942
2021-01-05,1941.8,1953.03,1934.33,1950.0,145506
2021-01-06,1950.44,1959.35,1900.8,1918.8,201654
2021-01-07,1919.94,1927.67,1906.82,1913.57,152077
2021-01-08,1915.21,1917.51,1828.2,1849.02,218797
2021-01-11,1851.61,1856.58,1816.86,1843.37,180538
2021-01-12,1845.06,1863.8,1836.63,1854.61,155350
2021-01-13,1854.98,1863.04,1841.87,1844.95,127925
2021-01-14,1846.8,1857.53,1829.45,1846.07,157000
2021-01-15,1847.22,1857.02,1823.27,1827.42,170064
2021-01-18,1828.66,1840.79,1803.58,1837.58,112601
2021-01-19,1838.88,1845.5,1832.99,1840.02,134537
2021-01-20,1840.18,1871.73,1832.45,1871.4,151351
2021-01-21,1871.7,1875.13,1858.34,1869.61,148073
2021-01-22,1870.14,1870.82,1837.31,1856.11,162679
2021-01-25,1856.38,1867.88,1847.12,1855.93,167249
2021-01-26,1855.33,1861.71,1848.38,1850.67,129677
2021-01-27,1850.72,1853.13,1831.37,1844.1,159961
2021-01-28,1844.48,1864.05,1834.01,1842.54,197089
2021-01-29,1843.2,1875.66,1839.58,1848.69,226668
2021-02-01,1859.64,1871.82,1849.13,1860.58,254532
2021-02-02,1859.87,1864.08,1829.54,1837.97,202224
2021-02-03,1837.59,1844.98,1829.75,1834.08,146942
2021-02-04,1834.03,1834.74,1785.03,1793.95,181539
2021-02-05,1795.94,1815.17,1792.01,1813.68,147735
2021-02-08,1815.62,1839.13,1807.75,1830.53,151125
2021-02-09,1830.4,1848.59,1828.86,1838.44,142624
2021-02-10,1838.61,1855.39,1834.06,1843.27,148935
2021-02-11,1843.04,1847.55,1821.18,1825.54,127173
2021-02-12,1826.24,1830.7,1810.53,1824.5,134636
2021-02-15,1825.87,1827.02,1816.06,1818.81,80495
2021-02-16,1818.32,1826.45,1789.45,1794.36,179703
2021-02-17,1793.88,1795.16,1769.54,1776.16,198615
2021-02-18,1776.07,1789.66,1768.39,1775.73,194148
2021-02-19,1776.96,1791.63,1760.64,1783.36,201788
2021-02-22,1784.18,1812.66,1780.66,1809.69,208741
2021-02-23,1810.4,1815.99,1795.59,1805.53,188679
2021-02-24,1806.15,1813.85,1783.62,1804.8,207745
2021-02-25,1803.98,1804.3,1765.48,1769.94,279834
2021-02-26,1770.49,1775.78,1717.22,1734.28,298034
2021-03-01,1735.92,1759.83,1719.71,1724.6,223671
2021-03-02,1723.74,1739.14,1707.21,1738.14,212292
2021-03-03,1738.31,1740.55,1701.93,1710.78,204098
2021-03-04,1711.9,1723.23,1690.59,1697.78,248033
2021-03-05,1697.93,1707.71,1687.28,1700.35,229664
2021-03-08,1705.95,1714.3,1676.81,1683.33,231529
2021-03-09,1683.68,1720.66,1680.11,1715.73,198642
2021-03-10,1715.55,1726.78,1708.19,1726.64,181242
2021-03-11,1726.38,1739.86,1719.26,1722.59,173606
2021-03-12,1722.03,1729.26,1699.22,1728.03,186734
2021-03-15,1729.75,1734.57,1721.68,1731.74,155397
2021-03-16,1731.75,1741.22,1726.15,1731.57,149880
2021-03-17,1731.93,1751.63,1724.02,1745.18,164481
2021-03-18,1747.91,1755.51,1719.23,1736.44,201043
2021-03-19,1735.16,1746.72,1728.4,1745.36,167249
2021-03-22,1743.95,1744.41,1727.35,1738.9,156474
2021-03-23,1739.58,1742.56,1724.69,1726.96,154220
2021-03-24,1727.11,1738.52,1724.01,1734.14,136086
2021-03-25,1734.42,1745.5,1721.77,1726.53,159520
2021-03-26,1727.37,1736.75,1721.55,1732.47,131048
2021-03-29,1732.55,1732.89,1705.75,1711.92,132439
2021-03-30,1712.67,1714.43,1678.77,1684.85,166409
2021-03-31,1684.9,1715.31,1677.89,1707.39,155437
2021-04-01,1707.04,1730.5,1705.76,1729.77,141929
2021-04-05,1727.63,1733.56,1721.31,1728.27,103916
2021-04-06,1728.26,1745.5,1727.17,1743.36,127347
2021-04-07,1742.81,1744.34,1730.62,1737.61,121027
2021-04-08,1738.24,1758.7,1733.15,1755.48,121164
2021-04-09,1755.54,1757.35,1731.23,1743.86,128090
2021-04-12,1743.59,1745.08,1727.39,1732.81,122443
2021-04-13,1733.06,1748.95,1723.73,1745.39,135841
2021-04-14,1746.05,1749.38,1732.61,1736.34,120945
2021-04-15,1736.58,1769.68,1734.35,1763.63,129558
2021-04-16,1763.73,1783.87,1759.81,1776.93,132650
2021-04-19,1776.91,1790.06,1766.75,1771.38,117575
2021-04-20,1771.06,1780.47,1763.65,1778.75,101234
2021-04-21,1778.07,1797.68,1776.24,1793.69,87075
2021-04-22,1794.08,1797.85,1777.41,1784.1,92216
2021-04-23,1783.85,1796.03,1769.99,1776.56,87413
2021-04-26,1775.4,1783.54,1768.72,1781.33,83988
2021-04-27,1781.19,1785.56,1773.72,1776.57,81084
2021-04-28,1776.69,1782.59,1762.6,1781.73,91321
2021-04-29,1781.56,1789.97,1756.09,1771.96,87474
2021-04-30,1772.42,1773.63,1764.25,1768.88,84400
2021-05-03,1766.81,1797.92,1766.04,1793.0,77546
2021-05-04,1792.2,1799.11,1770.89,1778.71,92988
2021-05-05,1778.19,1788.0,1770.36,1786.91,73929
2021-05-06,1787.09,1818.11,1781.98,1814.91,90276
2021-05-07,1814.64,1843.29,1812.84,1831.38,98897
2021-05-10,1833.15,1845.54,1830.02,1835.7,99070
2021-05-11,1836.02,1841.86,1818.12,1837.42,107409
2021-05-12,1836.96,1843.71,1813.25,1815.42,115170
2021-05-13,1815.35,1828.77,1808.75,1826.46,106054
2021-05-14,1826.41,1845.74,1819.74,1843.34,88166
2021-05-17,1842.58,1868.48,1842.1,1866.8,90265
2021-05-18,1866.19,1875.02,1863.26,1869.52,85802
2021-05-19,1869.02,1890.04,1852.23,1869.35,113883
2021-05-20,1870.38,1883.84,1863.83,1877.05,100304
2021-05-21,1877.23,1889.45,1870.09,1881.34,93848
2021-05-24,1881.34,1887.03,1875.25,1880.83,81990
2021-05-25,1880.91,1900.28,1872.74,1899.15,88603
2021-05-26,1898.61,1912.75,1890.69,1896.64,93989
2021-05-27,1896.47,1903.65,1888.29,1896.54,90818
2021-05-28,1896.96,1905.91,1882.23,1903.83,91437
2021-05-31,1903.55,1910.64,1902.07,1906.64,53014
2021-06-01,1907.39,1916.6,1892.38,1900.37,89221
2021-06-02,1900.14,1909.02,1894.4,1908.29,77610
2021-06-03,1908.25,1909.61,1865.36,1870.5,92910
2021-06-04,1871.47,1896.21,1855.86,1891.5,85614
2021-06-07,1890.52,1900.13,1881.56,1899.0,74039
2021-06-08,1899.28,1903.64,1883.77,1892.86,72911
2021-06-09,1892.05,1898.92,1887.35,1888.6,70475
2021-06-10,1888.87,1899.88,1869.87,1898.44,81122
2021-06-11,1898.09,1903.04,1874.51,1876.19,83039
2021-06-14,1876.6,1877.66,1844.76,1866.09,83650
2021-06-15,1866.32,1869.16,1851.65,1858.75,74318
2021-06-16,1859.33,1863.03,1803.47,1811.95,84024
2021-06-17,1812.73,1825.3,1767.19,1773.15,131843
2021-06-18,1774.99,1797.13,1760.87,1764.2,117287
2021-06-21,1768.08,1786.54,1766.42,1782.97,109899
2021-06-22,1783.77,1790.1,1772.44,1778.76,92607
2021-06-23,1779.47,1794.94,1773.32,1778.86,84511
2021-06-24,1778.63,1788.06,1772.9,1774.95,81725
2021-06-25,1776.32,1790.43,1773.7,1781.26,75323
2021-06-28,1781.86,1785.84,1770.64,1778.08,81289
2021-06-29,1778.51,1778.92,1750.67,1761.12,82178
2021-06-30,1762.04,1774.37,1753.38,1770.37,79915
2021-07-01,1770.04,1782.85,1765.73,1776.73,78970
2021-07-02,1776.88,1795.08,1774.29,1787.47,74666
2021-07-05,1787.49,1794.44,1784.48,1791.76,39549
2021-07-06,1791.54,1815.0,1790.1,1797.13,86098
2021-07-07,1796.16,1809.84,1793.86,1803.66,90875
2021-07-08,1803.69,1818.34,1794.68,1802.36,109737
2021-07-09,1802.87,1812.37,1796.67,1808.28,84817
2021-07-12,1807.69,1810.82,1791.68,1806.12,80805
2021-07-13,1806.3,1817.05,1798.68,1807.6,80624
2021-07-14,1808.06,1829.75,1804.56,1827.42,90082
2021-07-15,1827.29,1834.14,1820.29,1829.5,95907
2021-07-16,1829.69,1832.06,1808.43,1811.55,83823
2021-07-19,1811.64,1817.28,1795.0,1812.76,98316
2021-07-20,1812.88,1824.89,1805.07,1810.33,88408
2021-07-21,1810.43,1813.75,1794.68,1803.41,84101
2021-07-22,1803.65,1808.05,1792.77,1806.62,78563
2021-07-23,1806.9,1810.31,1790.11,1802.04,72748
2021-07-26,1802.25,1811.49,1796.41,1797.47,78561
2021-07-27,1798.07,1805.27,1793.68,1798.92,85623
2021-07-28,1800.04,1809.79,1792.44,1806.96,82365
2021-07-29,1807.31,1832.65,1807.12,1827.97,78210
2021-07-30,1828.52,1831.28,1810.3,1814.09,73227
2021-08-02,1813.83,1819.56,1805.8,1813.48,77393
2021-08-03,1813.11,1815.02,1807.15,1810.31,70246
2021-08-04,1810.31,1831.72,1806.43,1811.82,74094
2021-08-05,1812.05,1814.88,1797.84,1804.03,66207
2021-08-06,1804.62,1804.77,1758.68,1763.44,81640
2021-08-09,1764.43,1764.46,1679.17,1729.47,112982
2021-08-10,1729.68,1738.31,1717.74,1729.1,80620
